source_id,series_id,year,value,unit,status,scope_note
czso_public_sector_satellite_account_2024,public_nonfinancial_corporations_fte,2015,161186,FTE,official,Public non-financial corporations S.11001
czso_public_sector_satellite_account_2024,public_nonfinancial_corporations_fte,2016,158487,FTE,official,Public non-financial corporations S.11001
czso_public_sector_satellite_account_2024,public_nonfinancial_corporations_fte,2017,160675,FTE,official,Public non-financial corporations S.11001
czso_public_sector_satellite_account_2024,public_nonfinancial_corporations_fte,2018,158130,FTE,official,Public non-financial corporations S.11001
czso_public_sector_satellite_account_2024,public_nonfinancial_corporations_fte,2019,170121,FTE,official,Public non-financial corporations S.11001
czso_public_sector_satellite_account_2024,public_nonfinancial_corporations_fte,2020,163461,FTE,official,Public non-financial corporations S.11001
czso_public_sector_satellite_account_2024,public_nonfinancial_corporations_fte,2021,160999,FTE,official,Public non-financial corporations S.11001
czso_public_sector_satellite_account_2024,public_nonfinancial_corporations_fte,2022,161290,FTE,official,Public non-financial corporations S.11001
czso_public_sector_satellite_account_2024,public_nonfinancial_corporations_fte,2023,162269,FTE,official,Public non-financial corporations S.11001
czso_public_sector_satellite_account_2024,public_financial_corporations_fte,2015,1456,FTE,official,Public financial corporations including the central bank
czso_public_sector_satellite_account_2024,public_financial_corporations_fte,2016,1479,FTE,official,Public financial corporations including the central bank
czso_public_sector_satellite_account_2024,public_financial_corporations_fte,2017,1523,FTE,official,Public financial corporations including the central bank
czso_public_sector_satellite_account_2024,public_financial_corporations_fte,2018,1577,FTE,official,Public financial corporations including the central bank
czso_public_sector_satellite_account_2024,public_financial_corporations_fte,2019,1611,FTE,official,Public financial corporations including the central bank
czso_public_sector_satellite_account_2024,public_financial_corporations_fte,2020,1627,FTE,official,Public financial corporations including the central bank
czso_public_sector_satellite_account_2024,public_financial_corporations_fte,2021,1611,FTE,official,Public financial corporations including the central bank
czso_public_sector_satellite_account_2024,public_financial_corporations_fte,2022,1648,FTE,official,Public financial corporations including the central bank
